YEARMONTH,Mean score,Mean answercount,Mean commentcount
Aug-08,46.75,16.5,0.75
Sep-08,31.23076923,8,1.923076923
Oct-08,7.5,3.5,0
Nov-08,8.5,9.333333333,1
Dec-08,12.125,5.875,1
Jan-09,9.111111111,6,1.555555556
Feb-09,15.27272727,7.727272727,0.272727273
Mar-09,16.55555556,5.444444444,1
Apr-09,21.6875,5.375,2.125
May-09,9.736842105,4.263157895,0.947368421
Jun-09,18.63636364,4.818181818,0.909090909
Jul-09,10.45454545,6.181818182,1.727272727
Aug-09,15.5,4.642857143,1.642857143
Sep-09,17.3125,5.375,2.1875
Oct-09,30.59090909,5.590909091,4.818181818
Nov-09,11.52173913,4.260869565,1.217391304
Dec-09,16.66666667,4.033333333,2.133333333
Jan-10,8.35,4.6,2.7
Feb-10,5.105263158,3,2.526315789
Mar-10,23.83870968,4.225806452,2.096774194
Apr-10,10.64,3.36,2.6
May-10,6.62962963,3.518518519,2.148148148
Jun-10,25.21052632,4.526315789,2.263157895
Jul-10,13.5625,3.9375,2.3125
Aug-10,2.7,2.6,2.333333333
Sep-10,7.090909091,3.090909091,3.272727273
Oct-10,4.242424242,2.575757576,1.303030303
Nov-10,5.121212121,2.545454545,1.878787879
Dec-10,3.137931034,2.965517241,2.206896552
Jan-11,15.15384615,3.230769231,1.961538462
Feb-11,3.277777778,2.277777778,2.361111111
Mar-11,4.285714286,2.444444444,2.158730159
Apr-11,3.787234043,2.276595745,1.70212766
May-11,4.085714286,2.428571429,1.285714286
Jun-11,3.896551724,2.379310345,2.275862069
Jul-11,3.888888889,2.527777778,1.722222222
Aug-11,3.541666667,2.208333333,2.666666667
Sep-11,3.263157895,2.447368421,1.473684211
Oct-11,4.219512195,2,1.926829268
Nov-11,3.472222222,2.194444444,1.805555556
Dec-11,3.685714286,1.914285714,2.542857143
Jan-12,4.113207547,2.188679245,1.735849057
Feb-12,4.88372093,2.186046512,2.093023256
Mar-12,5.659574468,1.70212766,3.127659574
Apr-12,4.921052632,1.921052632,2.078947368
May-12,3.324324324,1.972972973,2.324324324
Jun-12,1.727272727,1.636363636,1.636363636
Jul-12,5,1.866666667,1.833333333
Aug-12,4.538461538,1.807692308,1.846153846
Sep-12,2.527272727,1.745454545,1.654545455
Oct-12,3.592592593,1.685185185,2.277777778
Nov-12,1.87037037,1.814814815,1.833333333
Dec-12,2.333333333,1.759259259,2.333333333
Jan-13,1.523809524,1.428571429,2.166666667
Feb-13,1.341463415,1.829268293,2
Mar-13,2.26,2.02,1.62
Apr-13,2.288461538,1.519230769,1.769230769
May-13,1.86,1.56,1.74
Jun-13,2.404761905,1.404761905,3.285714286
Jul-13,1.75,1.5,1.928571429
Aug-13,1.65625,1.625,1.375
Sep-13,1.888888889,1.844444444,1.488888889
Oct-13,1.5,1.527777778,2.138888889
Nov-13,2.68627451,1.274509804,2.31372549
Dec-13,1.735849057,1.622641509,2.226415094
Jan-14,1.425531915,1.531914894,2.489361702
Feb-14,0.711538462,1.326923077,1.769230769
Mar-14,28.76923077,1.261538462,2.415384615
Apr-14,0.862745098,1.235294118,1.862745098
May-14,1.704545455,1.5,2.181818182
Jun-14,0.666666667,1.233333333,1.866666667
Jul-14,0.111111111,1.259259259,2.703703704
Aug-14,1.083333333,1.625,2.166666667
Sep-14,1.40625,1.40625,1.59375
Oct-14,1.093023256,1.372093023,1.534883721
Nov-14,0.775,1,2.5
Dec-14,1.5,1.157894737,1.736842105
Jan-15,1.363636364,1.045454545,2.045454545
Feb-15,0.75,1.25,2.805555556
Mar-15,0.616666667,0.983333333,1.95
Apr-15,1.288461538,1.076923077,2.5
May-15,1,1.377358491,2.377358491
Jun-15,1.157894737,1.236842105,2.394736842
Jul-15,3.304347826,1.565217391,2.586956522
Aug-15,1.59375,1.375,1.71875
Sep-15,0.8125,1.09375,2.1875
Oct-15,0.888888889,1,1.955555556
Nov-15,0.815789474,1.236842105,1.526315789
Dec-15,0.765957447,1.106382979,2.255319149
Jan-16,1.473684211,1.131578947,2.184210526
Feb-16,1.023255814,1.093023256,1.813953488
Mar-16,0.96,1.28,2.24
Apr-16,1.017857143,1.107142857,1.589285714
May-16,1.560606061,1.242424242,1.984848485
Jun-16,1.06122449,1.06122449,2.306122449
Jul-16,0.770833333,1.395833333,2.770833333
Aug-16,1.208333333,1.375,1.875
Sep-16,0.977272727,1.090909091,1.909090909
Oct-16,0.62295082,1.180327869,1.983606557
Nov-16,1.848484848,1.015151515,2.196969697
Dec-16,0.468085106,1.042553191,1.574468085
Jan-17,1.02173913,1.043478261,2.065217391
Feb-17,0.566666667,1.166666667,1.733333333
Mar-17,0.691176471,1.176470588,2.264705882
Apr-17,0.113924051,0.924050633,2.582278481
May-17,0.507692308,1.061538462,1.476923077
Jun-17,0.938461538,1.092307692,1.723076923
Jul-17,0.905660377,1.169811321,1.433962264
Aug-17,0.396825397,0.761904762,1.73015873
Sep-17,0.315789474,0.929824561,1.333333333
Oct-17,0.674698795,0.807228916,1.638554217
Nov-17,0.457142857,0.842857143,1.514285714
Dec-17,0.188679245,0.830188679,1.41509434
Jan-18,0.3125,0.90625,1.125
Feb-18,0.046875,0.765625,1.59375
Mar-18,0.095238095,0.880952381,1.404761905
Apr-18,0.329411765,0.741176471,1.764705882
May-18,0.215053763,0.870967742,1.451612903
Jun-18,-0.022222222,0.711111111,2.2
Jul-18,-0.360465116,0.627906977,1.209302326
Aug-18,-1.340909091,0.295454545,2.227272727
